1	1	1	34	52	1	1	kate	1
2	1	2	34	72	1	2	kate	0
3	1	3	72	34	0	3	kate	0
4	1	4	72	52	1	4	kate	0
151	1	5	34	72	0	6umB	kate	1
7	2	1	6	62	1	7	kate	1
8	2	2	30	6	0	8	kate	0
9	2	3	30	6	0	9	kate	0
10	2	4	62	30	0	10	kate	0
153	2	5	30	6	1	12umB	kate	1
13	3	1	69	61	1	13	kate	1
14	3	2	51	69	0	14	kate	0
15	3	3	69	51	1	15	kate	0
16	3	4	61	51	0	16	kate	0
155	3	5	69	51	0	18umB	kate	1
19	4	1	49	75	0	19	mark	0
20	4	2	59	75	0	20	mark	0
21	4	3	75	59	1	21	mark	0
22	4	4	49	59	0	22	mark	0
157	4	5	59	75	1	24umB	kate	1
25	5	1	44	77	1	25	mark	1
26	5	2	44	55	1	26	mark	0
27	5	3	55	44	0	27	mark	0
28	5	4	55	77	1	28	mark	0
159	5	5	55	44	1	30umB	kate	1
31	6	1	26	25	0	31	kate	1
32	6	2	25	31	1	32	kate	0
33	6	3	25	31	1	33	kate	0
34	6	4	31	26	1	34	kate	0
161	6	5	25	31	0	36umE	kate	1
37	7	1	21	1	1	37	kate	1
38	7	2	21	42	1	38	kate	0
39	7	3	21	42	1	39	kate	0
40	7	4	1	42	0	40	kate	0
163	7	5	21	42	0	42umE	kate	1
43	8	1	70	78	1	43	kate	1
44	8	2	20	70	0	44	kate	0
45	8	3	70	20	1	45	kate	0
46	8	4	20	78	1	46	kate	0
165	8	5	70	20	0	48umE	kate	1
49	9	1	46	58	0	49	mark	1
50	9	2	58	48	1	50	mark	0
51	9	3	48	58	0	51	mark	0
52	9	4	46	48	0	52	mark	0
167	9	5	48	58	1	54umE	kate	1
55	10	1	11	24	0	55	mark	1
56	10	2	27	24	0	56	mark	0
57	10	3	24	27	1	57	mark	0
58	10	4	27	11	1	58	mark	0
169	10	5	24	27	0	60umE	kate	1
61	11	1	76	23	1	61	mark	1
62	11	2	76	39	1	62	mark	0
63	11	3	39	76	0	63	mark	0
64	11	4	39	23	1	64	mark	0
212	11	6	76	39	0	66umB	kate	1
67	12	1	67	41	1	67	mark	1
68	12	2	67	14	1	68	mark	0
69	12	3	67	14	1	69	mark	0
70	12	4	14	41	1	70	mark	0
214	12	6	67	14	0	72umE	kate	1
73	13	1	28	32	1	73	kate	1
74	13	2	28	12	1	74	kate	0
75	13	3	28	12	1	75	kate	0
76	13	4	12	32	1	76	kate	0
216	13	6	28	12	1	77uhE	kate	1
79	14	1	66	47	0	79	kate	1
80	14	2	47	4	0	80	kate	0
81	14	3	47	4	0	81	kate	0
82	14	4	66	4	0	82	kate	0
218	14	6	47	4	0	83uhE	kate	1
85	15	1	68	22	1	85	kate	1
86	15	2	33	68	1	86	kate	0
87	15	3	68	33	0	87	kate	0
88	15	4	22	33	0	88	kate	0
220	15	6	68	33	0	89uhE	kate	1
91	16	1	2	37	1	91	kate	1
92	16	2	54	2	1	92	kate	0
93	16	3	54	2	1	93	kate	0
94	16	4	54	37	1	94	kate	0
222	16	6	54	2	1	95uhE	kate	1
97	17	1	63	60	0	97	kate	1
98	17	2	40	60	1	98	kate	0
99	17	3	40	60	1	99	kate	0
100	17	4	40	63	1	100	kate	0
224	17	6	60	40	0	101	kate	1
103	18	1	9	35	1	103	kate	1
104	18	2	7	9	1	104	kate	0
105	18	3	9	7	0	105	kate	0
106	18	4	7	35	1	106	kate	0
226	18	6	9	7	0	107uhE	kate	1
121	21	1	18	17	1	121	mark	1
122	21	2	18	38	0	122	mark	0
123	21	3	18	38	0	123	mark	0
124	21	4	17	38	0	124	mark	0
125	21	5	18	38	0	122	kate	1
126	22	1	36	19	0	126	mark	1
127	22	2	19	57	0	127	mark	0
128	22	3	19	57	0	128	mark	0
129	22	4	36	57	0	129	mark	0
130	22	5	57	19	1	127	kate	1
131	23	1	3	29	0	131	mark	1
132	23	2	15	29	1	132	mark	0
133	23	3	15	29	1	133	mark	0
134	23	4	3	15	0	134	mark	0
135	23	5	15	29	1	132	kate	1
136	24	1	8	56	0	136	mark	1
137	24	2	56	5	0	137	mark	0
138	24	3	56	5	0	138	mark	0
139	24	4	5	8	1	139	mark	0
140	24	5	56	5	0	137	kate	1
141	25	1	13	71	1	141	mark	1
142	25	2	13	53	0	142	mark	0
143	25	3	13	53	0	143	mark	0
144	25	4	71	53	0	144	mark	0
145	25	5	13	53	0	142	kate	1
146	26	1	16	50	0	146	mark	1
147	26	2	50	43	0	147	mark	0
148	26	3	50	43	0	148	mark	0
149	26	4	16	43	0	149	mark	0
150	26	5	43	50	1	147	kate	1
