"ListID","ItemID","BlockID","BTrial","Audio","Type"
2,7,2,1,"wavs/kate/7.wav","filler"
2,8,2,2,"wavs/kate/8.wav","filler"
2,9,2,3,"wavs/kate/9.wav","filler"
2,10,2,4,"wavs/kate/10.wav","filler"
2,153,2,5,"wavs/kate/12umE.wav","test"
2,13,3,1,"wavs/kate/13.wav","filler"
2,14,3,2,"wavs/kate/14.wav","filler"
2,15,3,3,"wavs/kate/15.wav","filler"
2,16,3,4,"wavs/kate/16.wav","filler"
2,155,3,5,"wavs/kate/18umE.wav","test"
2,19,4,1,"wavs/mark/19.wav","filler"
2,20,4,2,"wavs/mark/20.wav","filler"
2,21,4,3,"wavs/mark/21.wav","filler"
2,22,4,4,"wavs/mark/22.wav","filler"
2,157,4,5,"wavs/kate/24umE.wav","test"
2,25,5,1,"wavs/mark/25.wav","filler"
2,26,5,2,"wavs/mark/26.wav","filler"
2,27,5,3,"wavs/mark/27.wav","filler"
2,28,5,4,"wavs/mark/28.wav","filler"
2,159,5,5,"wavs/kate/30umE.wav","test"
2,31,6,1,"wavs/kate/31.wav","filler"
2,32,6,2,"wavs/kate/32.wav","filler"
2,33,6,3,"wavs/kate/33.wav","filler"
2,34,6,4,"wavs/kate/34.wav","filler"
2,161,6,5,"wavs/kate/36umB.wav","test"
2,37,7,1,"wavs/kate/37.wav","filler"
2,38,7,2,"wavs/kate/38.wav","filler"
2,39,7,3,"wavs/kate/39.wav","filler"
2,40,7,4,"wavs/kate/40.wav","filler"
2,163,7,5,"wavs/kate/42umB.wav","test"
2,43,8,1,"wavs/kate/43.wav","filler"
2,44,8,2,"wavs/kate/44.wav","filler"
2,45,8,3,"wavs/kate/45.wav","filler"
2,46,8,4,"wavs/kate/46.wav","filler"
2,165,8,5,"wavs/kate/48umB.wav","test"
2,49,9,1,"wavs/mark/49.wav","filler"
2,50,9,2,"wavs/mark/50.wav","filler"
2,51,9,3,"wavs/mark/51.wav","filler"
2,52,9,4,"wavs/mark/52.wav","filler"
2,167,9,5,"wavs/kate/54umB.wav","test"
